date,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2024-01-01,100.0,0.003377457402553574,0.871013032828416,0.0,100000.0,3500.0,20000.0,0.0,2416.666666666667,675.4914805107148,0.0,-1.2433707847645157e6,67026.8970396824,-5691.565795262384,689.3790178778759,172.34475446946897,517.0342634084075,222179.93382823042,-3020.737863690033,1081.4720625134842,270.36801562837104,4348.876173983558,1.5180550647312852e6,53131.92726559484,78537.69387389264,4557.894261314869,67687.00025104522,116049.30810547032,91576.09082170097,-1.1065151501522635e6,721597.3497306118,-388382.6207204664,-11865.986802126496,-2966.496700531624,-8899.490101594885,-116568.15713784905,79898.70338606098,19974.675846515245,167592.69457579986
2024-02-01,99.12560950976898,0.0033535887935995526,0.8623120758792053,0.0,0.0,0.0,0.0,0.0,413.02337295737044,670.7177587199112,0.0,-1.176343887724833e6,-7301.926965036819,-5727.9237678854,490.2620654741469,122.56551636853672,367.69654910561013,219159.1959645404,-2813.6583846330805,1066.7684682173274,266.69211705433185,3981.4312849016906,1.4271788737154088e6,49951.260580039314,58914.32715884757,4587.219890230382,65690.28487595034,116120.48136755536,92165.2941474042,-1.0397500056953806e6,659213.2317663949,-385189.9204011211,-12631.711936374148,-3157.927984093537,-9473.783952280619,-114297.4223070516,79331.30198688371,19832.82549672093,164322.11484493365
2024-03-01,98.25994384509617,0.003329915818697836,0.8537060858544058,0.0,0.0,0.0,0.0,0.0,409.41643268790153,665.9831637395673,0.0,-1.1836458146898714e6,-7330.98968043405,-5763.448709647995,492.1413743585816,123.0353435896454,369.10603076893574,216345.53757990754,-2867.197584922428,1053.072843756524,263.268210939131,4026.108248508758,1.4363613855612513e6,50272.648494643836,59293.38371369814,4616.734201125335,65697.25736900189,116196.88628234233,92758.28842504587,-1.0475261870753954e6,670756.5565135292,-381940.3201791669,-13203.246816787845,-3300.8117041969613,-9902.435112590872,-112219.15697903771,78774.9535043157,19693.738376078923,161397.93699468402
2024-04-01,97.40290784342301,0.0033064366239334937,0.8451939733257129,0.0,0.0,0.0,0.0,0.0,405.84544934759583,661.2873247866976,0.0,-1.1909768043703043e6,-7360.291570098889,-5799.115290669538,494.0435052950506,123.51087632376264,370.5326289712888,213478.33999498506,-2921.362316765385,1039.1166145310833,259.77915363277083,4071.232406634993,1.445602977964799e6,50596.104228767974,59674.879129836,4646.438407985256,65707.90487071536,116278.51738363222,93355.09804572507,-1.0553440358981406e6,682403.2140750535,-378634.2869897759,-13780.33827871543,-3445.0845696788574,-10335.253709036588,-110073.98082903767,78228.72108332011,19557.180270830027,158410.26793249155
2024-05-01,96.55440743347329,0.0032831493749664884,0.8367746616806686,0.0,0.0,0.0,0.0,0.0,402.3100309728059,656.6298749932969,0.0,-1.1983370959404032e6,-7389.833109453957,-5834.924673234958,495.96853025289516,123.99213256322379,371.97639768967093,210556.97767821953,-2976.1595014384056,1024.8967357345407,256.2241839336352,4116.808450928984,1.4549040310521342e6,50921.641086824755,60058.829098968265,4676.3337326065075,65722.21483793006,116365.36954083806,93955.74755747366,-1.0632038951974951e6,694154.1084716757,-375271.3161022786,-14363.044895421799,-3590.7612238554498,-10772.28367156632,-107860.83781925429,77692.93041570616,19423.23260392654,155358.25195946736
2024-06-01,95.71434962241797,0.0033071252908486643,0.6315180285335731,0.0,47064.21404646525,1647.2474916262845,23532.107023232624,4706.421404646519,1340.0940710227126,661.4250581697323,0.0,-1.2057269290498574e6,8929.600411050342,-5791.842854582395,455.4757321346272,113.8689330336568,341.6067991009699,207580.8181767808,-2744.9257595633208,1010.4101288707628,252.6025322176907,3844.340155317359,1.4642649273950919e6,51249.27245882813,60445.24941376257,4706.421404646519,65740.17504126785,116457.43795723243,94560.26166626622,-1.071106109453089e6,706010.1500160178,-371850.89837626595,-14951.425689003165,-3737.856422250791,-11213.569266752374,-105578.65819603522,77167.91233360072,19291.97808340018,152241.02317948322
2024-07-01,95.07952446859346,0.0032871025927212506,0.6271912628487024,0.0,0.0,0.0,0.0,0.0,396.1646852858065,657.4205185442509,0.0,-1.1967973286388072e6,-6767.008924839502,-5827.399865254696,-113.97614424526077,-28.494036061315192,-85.48210818394539,204835.8924172178,-2042.9967342974692,997.0490639379761,249.26226598449404,2705.3014240670045,1.4263190254102272e6,49921.16588935797,37150.642660125464,0.0,64814.43303029436,116545.30356141331,95168.66523703696,-1.0627188150319997e6,701623.0401681388,-368451.5553982687,-15503.099344208296,-3875.774836052074,-11627.32450815621,-103513.02870227913,76654.00287621027,19163.50071905257,149376.20635128053
2024-08-01,94.44904610315201,0.0032672046493197244,0.6228950160447149,0.0,0.0,0.0,0.0,0.0,393.5376920964665,653.4409298639463,0.0,-1.2035643375636481e6,-6791.3966596633145,-5860.325836350314,-115.90779864740293,-28.976949661850732,-86.930848985552,202792.89568292015,-2075.5689873872825,987.1046740289513,246.77616850723783,2728.966643923445,1.4354960049661882e6,50242.36017381663,37389.671013606705,0.0,64832.737423174476,116637.73903516267,95780.9832947008,-1.0706125140257266e6,712904.3128592916,-364994.7839345241,-15488.870607942057,-3872.2176519855143,-11616.652955956524,-102136.0379114296,76150.1479748302,19037.53699370755,147631.9959365957
2024-09-01,93.82288388245789,0.0032474306583749695,0.6186290673892875,0.0,0.0,0.0,0.0,0.0,390.92868284357473,649.486131674994,0.0,-1.210355734223309e6,-6815.946515520864,-5893.370603516054,-117.8389025137589,-29.459725628439724,-88.3791768853192,200717.3266955331,-2108.4433310564236,977.0017370309863,244.25043425774658,2752.8154569443495,1.4447320294849332e6,50565.62103197253,37630.237282711336,0.0,64853.80348241234,116734.74883021387,96397.24102518454,-1.0785503778324362e6,724282.5573334431,-361482.8455280019,-15472.618669156078,-3868.1546672890195,-11604.464001867082,-100717.61526728082,75652.99564575257,18913.248911438142,145852.89799972833
2024-10-01,93.20100738441039,0.00322777982294866,0.6143931977797704,0.0,0.0,0.0,0.0,0.0,388.3375307683764,645.555964589732,0.0,-1.2171716807388307e6,-6840.658941337642,-5926.534955267284,-119.76950928774244,-29.94237732193561,-89.82713196580706,198608.8833644767,-2141.622336273622,966.7387825029095,241.6846956257274,2776.8492911849985,1.4540274788635238e6,50890.96176022331,37872.35136243492,0.0,64877.630877006595,116836.33758739597,97017.46377646195,-1.0865327335000024e6,735758.5596309985,-357915.2664368632,-15454.331061040288,-3863.582765260072,-11590.74829578023,-99257.19210546181,75162.7475606183,18790.686890154575,144038.50448014538
