date,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2024-01-01,200.0,0.007853473297737446,1.253960192915608,0.0,183500.0,6422.499999999998,20000.0,0.0,4503.333333333334,2193.54244782338,756.3135569011905,-3.856647521089965e6,132256.0492183313,-18029.76435039527,-661.5029067844483,-165.37572669611208,-496.12718008833576,497400.4083510997,-6523.390585436204,2421.12163887126,605.280409717815,7843.104634501309,4.259566859709314e6,149084.8400898257,78537.69387389264,4557.894261314869,150997.2439947952,251710.7555749003,174485.74036256527,-3.450192691552013e6,2.479573468211321e6,-1.023052883751164e6,-77215.02113977015,-19303.755284942537,-57911.26585482752,-310854.3421714455,141128.09458002637,35282.02364500659,358789.14725163736
2024-02-01,198.73818633378664,0.007812254961704489,1.2437756099494044,0.0,18428.49662699718,644.9973819449007,0.0,0.0,1196.645708930721,2182.8963869433364,753.3763661406424,-3.724391471871633e6,-3408.530178583198,-18047.926466160596,-988.8155045398282,-247.20387613495706,-741.6116284048725,490877.01776566496,-6160.294532655695,2389.3687053391695,597.3421763347924,7210.709433255199,4.102292396615063e6,143580.23388152744,58914.32715884757,4587.219890230382,147436.4568935898,251136.72770745755,174852.07331292296,-3.3217853577704923e6,2.3632710693474254e6,-1.0116054724589507e6,-77050.3220039435,-19262.580500985874,-57787.74150295761,-306330.99778336583,139614.99535105014,34903.748837762534,353254.5027936958
2024-03-01,197.48659846887566,0.007771299510307804,1.2336917418513416,0.0,18357.26961790521,642.5044366266826,0.0,0.0,1190.0062193117526,2172.3121691608158,750.4505821439699,-3.727800002050221e6,-3478.3028974049666,-18064.819907637902,-984.5207995709424,-246.1301998927356,-738.3905996782078,484716.7232330084,-6226.993453491159,2359.383160204058,589.8457900510145,7258.140223965992,4.110139603285743e6,143854.88611500114,59293.38371369814,4616.734201125335,147180.7225331025,250569.65258831182,175223.7004512741,-3.329400523683238e6,2.3818849567442858e6,-1.0000662460620343e6,-76557.25059116245,-19139.31264779061,-57417.93794337184,-302141.64611407585,138123.9137296077,34530.97843240193,348316.6434679096
2024-04-01,196.24513542751373,0.007916339718016483,1.2237067656256748,0.0,82531.98869379089,2888.6196042826855,0.0,0.0,2468.3278381571217,2180.521048592789,842.1578608136788,-3.7312783049476277e6,57146.84744605454,-17786.532407026683,-781.0175111367139,-195.25437778417847,-585.7631333525342,478489.7297795176,-6407.432378626741,2329.0729546991306,582.2682386747827,7568.473961298549,4.11810898440624e6,144133.81445421846,59674.879129836,4646.438407985256,146930.02497833443,250009.5131085573,175600.64443381995,-3.337113669893491e6,2.4006883791719517e6,-988435.8824935572,-76065.30144703411,-19016.32536175853,-57048.97608527553,-297858.64110916865,136653.22398925154,34163.305997312884,343299.5830158317
2024-05-01,195.01351232217,0.007875171689007974,1.2138202993028324,0.0,18215.640422944063,637.5474148030432,0.0,0.0,1176.8691098012566,2169.985323354578,838.8841288561243,-3.6741314575015698e6,-3506.0024328742547,-17804.186866447762,-905.8299874444351,-226.45749686110878,-679.3724905833262,472082.2974008905,-6308.093076155252,2297.8844536021506,574.4711134005377,7352.133925773542,4.0615420196140967e6,142153.97068649362,60058.829098968265,4676.3337326065075,145391.16804931956,249437.56079509226,175888.30640662945,-3.283935850844988e6,2.3589876330422265e6,-977008.9763163021,-75773.69037573403,-18943.42259393351,-56830.26778180059,-293367.6401959626,135203.3819923282,33800.84549808205,337939.90890840854
2024-06-01,193.7918168511784,0.007881336180926712,1.0071021983679995,0.0,65209.450159590575,2282.3307555856713,23532.107023232624,4706.421404646519,2111.6549067383876,2168.924975642307,835.6231229237706,-3.677637459934442e6,12835.26291821535,-17742.516413648977,-1005.3913610430661,-251.34784026076653,-754.0435207823016,465774.20432473556,-5960.240197272917,2267.1794915830733,566.7948728957683,6906.5812951779235,4.0693412628594474e6,142426.94420008027,60445.24941376257,4706.421404646519,145142.17808118835,248872.46424845932,176181.092937191,-3.2915669125741143e6,2.377671432935222e6,-965490.8946212167,-75355.39059371327,-18838.847648428316,-56516.54294528483,-288947.083350129,133775.400169439,33443.85004235975,332762.09053192334
2024-07-01,192.7768333166295,0.007993443927293287,1.0013190557828653,0.0,81574.48354315953,2855.10692401059,0.0,0.0,2434.7264763491467,2263.998508659425,832.3747935465509,-3.664802197016228e6,57107.658971566416,-17467.290614027235,-1386.672744999621,-346.66818624990526,-1040.0045587497168,459813.9641274619,-5347.976019968098,2238.167721041256,559.541930260314,5986.597251999326,4.029894517347182e6,141046.3081071515,37150.642660125464,0.0,143950.78586720384,248304.792201342,176479.02427103874,-3.282962964240323e6,2.3801341796082025e6,-953960.3756944943,-74834.83808470127,-18708.70952117532,-56126.128563525876,-284845.9373873286,132368.93563052377,33092.23390763094,327996.51054669573
2024-08-01,191.76752081691944,0.007955287436534435,0.9955720794059568,0.0,18005.187549121834,630.1815642192648,0.0,0.0,1159.1350877196003,2253.7990938566327,829.1390914467088,-3.6076945380446613e6,-2834.5531706968395,-17481.704016691194,-1514.2181341147366,-378.55453352868415,-1135.663600586053,454465.9881074944,-5225.334717589863,2212.1361773418216,553.0340443354554,5748.773250010176,3.973723643785456e6,139080.32753249086,37389.671013606705,0.0,142426.57797802426,247638.39420216443,176782.1208334363,-3.2304065522257276e6,2.3383403756140866e6,-942630.8948614366,-73929.65494121579,-18482.413735303948,-55447.24120591183,-281330.66870522255,130982.43362695856,32745.60840673964,324120.25271952956
2024-09-01,190.7639934500767,0.007917325733837329,0.9898610266064296,0.0,17935.54162270356,627.7439567946243,0.0,0.0,1153.5608051627246,2243.6485495307934,825.9159675380381,-3.610529091215358e6,-2896.9612597778178,-17495.801354368632,-1514.1677509134458,-378.54193772836146,-1135.625813185086,449240.65338990436,-5268.225877684262,2186.701596383109,546.6753990957773,5772.626261786514,3.981169667890454e6,139340.93837616593,37630.237282711336,0.0,142176.36187142425,246977.9079929975,177090.40323034188,-3.237953819136814e6,2.356219881168922e6,-931214.1064049031,-72891.1024330149,-18222.775608253723,-54668.326824761214,-277915.4239809495,129613.04237145415,32403.26059286354,320456.87893477856
2024-10-01,189.76621509773668,0.00787955774744918,0.9841856564680264,0.0,80627.92262907486,2821.9772920176215,0.0,0.0,2403.251015488733,2233.5466230685333,822.7053729251528,-3.613426052475143e6,56465.82501364733,-17221.507597177326,-1340.8902852497847,-335.2225713124462,-1005.6677139373379,443972.4275122206,-5382.7849875693155,2161.058240533832,540.264560133458,5997.910954032355,3.9887336939691505e6,139605.67928892013,37872.35136243492,0.0,141930.1460145188,246323.3227399991,177403.89224938067,-3.245598302313893e6,2.374276832089926e6,-919709.7646500048,-71845.91822990686,-17961.479557476716,-53884.43867243017,-274435.314309193,128260.27499233812,32065.06874808453,316746.0818810165
