date,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2024-01-01,200.0,0.007853473297737446,1.4005490396838112,0.0,183500.0,6422.499999999998,20000.0,0.0,4953.6666666666715,2193.54244782338,842.35486238331,-3.5038136565008303e6,132864.0941292887,-16314.519693613525,-90.67779977538737,-22.669449943846843,-68.0083498315405,504107.41403492517,-6295.299047120922,2453.768328179318,613.4420820448295,8067.616943423867,4.1405029863316985e6,144917.6045216095,77810.08920938431,4977.272729136424,161066.55503562596,239455.96446976182,282143.2007740706,0.0,2.380509288362703e6,-831670.8598899217,-6032.28528251639,-1508.0713206290975,-4524.213961887317,-320736.40325868333,138726.06312234778,34681.515780586946,420256.7366385567
2024-02-01,198.5915974870186,0.0078075304080798,1.38781943094466,0.0,18420.436911868615,644.7152919154008,0.0,0.0,1315.4611005432773,2181.6801240167188,838.7165511270775,-3.370949562371544e6,-2437.870861491745,-16328.14629766755,-450.4115919097013,-112.60289797742533,-337.8086939322761,497812.114987804,-5888.160094636172,2423.125641743508,605.781410435877,7367.695632011526,3.982462462691131e6,139386.18619418965,58182.04106401944,5009.296651741392,157117.3233932848,238803.08890735704,283116.16376080085,0.0,2.2629614626718843e6,-820707.3355504521,-5980.419387880847,-1495.1048469702118,-4485.31454091065,-316504.73188750295,137164.86246134,34291.215615335,414893.0641925967
2024-03-01,197.19597052566596,0.007761914992790376,1.3752308914650815,0.0,18341.216001304387,641.9425600456537,0.0,0.0,1307.321616937997,2169.894772744072,835.0939545181143,-3.3733874332330357e6,-2508.0157483730036,-16340.34525338505,-445.36640795350115,-111.34160198837529,-334.0248059651242,491923.9548931675,-5953.777207979075,2394.4647247460252,598.6161811865063,7415.600945573476,3.989546791530449e6,139634.13770356582,58556.3860680868,5041.526617228629,156804.29616592763,238157.87504773212,284099.0251319391,0.0,2.279959295721982e6,-809659.6449612174,-5568.485994383214,-1392.1214985958036,-4176.364495787439,-312652.9727677896,135624.25967470714,33906.064918676784,410194.80302803166
2024-04-01,195.8129777192076,0.007902115401772963,1.3627808849971368,0.0,82423.74978723182,2884.831242553117,0.0,0.0,2710.7986431988033,2176.8929008983105,936.7350424672076,-3.375895448981411e6,57888.04095668761,-16058.377042767792,-231.92604134098758,-57.981510335246895,-173.94453100574322,485970.17768518865,-6143.395308622503,2365.4844131314026,591.3711032828506,7743.564087465315,3.996756431775111e6,139886.47511212894,58933.13961918184,5073.96395128426,156497.44676525224,237520.2952139796,285091.83285934274,0.0,2.297136638228616e6,-798528.6742423673,-5158.947392984709,-1289.7368482461773,-3869.2105447385575,-308710.81420058047,134102.40552035513,33525.60138008878,405418.4077961084
2024-05-01,194.44229471880885,0.007856334243102971,1.350468487179207,0.0,18183.794832784024,636.4328191474403,0.0,0.0,1291.2373371157898,2165.177707951751,932.6855701908572,-3.3180074080247227e6,-2544.453483666115,-16071.441325883648,-368.7264438393835,-92.18161095984587,-276.5448328795362,479826.7823765662,-6026.546524549774,2335.581125823791,583.8952814559477,7501.68753603808,3.939517616324356e6,137883.11657135264,59312.317213968716,5106.609988123896,154776.1160465873,236871.61504422466,285989.38725360844,0.0,2.2540284435690837e6,-787608.0547333756,-4960.214174506106,-1240.0535436265266,-3720.1606308796067,-304553.67356580787,132599.7400221657,33149.935005541425,400283.3179515522
2024-06-01,193.0839698973865,0.00785760652705285,1.1182169343687824,0.0,64828.010473735594,2268.9803665807444,23361.20941157969,5139.466070547528,2311.184425785206,2162.8841817194448,928.6536036407699,-3.320551861508384e6,13038.928940166737,-16008.423134484708,-391.71966076922536,-97.92991519230634,-293.78974557692015,473800.23585201637,-5830.077825508095,2306.2466058811515,576.5616514702879,7265.973034342046,3.9465638013704233e6,138129.73304796498,59693.93444881752,5139.466070547528,154472.40504051847,236230.47643967276,286896.7660121487,0.0,2.2710753839274757e6,-776604.1073465276,-4623.401898017566,-1155.8504745043915,-3467.551423513195,-300486.63454709237,131117.30961622304,32779.32740405576,395357.06533574715
2024-07-01,191.95789535649078,0.007965175776173667,1.1110614346631045,0.0,81360.6575304487,2847.623013565704,0.0,0.0,2669.7414860537883,2256.600944313576,924.6390671403055,-3.3075129325682227e6,57749.888732138315,-15730.315380932203,-818.1510936952704,-204.5377734238176,-613.6133202714522,467970.1580265081,-5154.114396899997,2277.868407265609,569.4671018164023,6248.90238207774,3.9067109958543982e6,136734.88485490408,36566.49088410591,0.0,153140.23048974347,235587.50625626656,287814.0148394929,0.0,2.2726486223895876e6,-765592.378422263,-4261.429344270829,-1065.3573360677071,-3196.072008203145,-296589.89677591407,129654.67572835533,32413.668932088833,390634.831563978
2024-08-01,190.83886874605162,0.007922855754615182,1.1039558434798127,0.0,17950.13775506741,628.25482142736,0.0,0.0,1269.581179030886,2245.286464280761,920.641885339962,-3.2497630438360856e6,-1896.276742798178,-15740.250550774566,-957.6004029879392,-239.4001007469848,-718.200302240953,462816.0436296086,-5013.710253862842,2252.7804948191338,563.1951237047834,5985.095322736236,3.8499627575820386e6,134748.69651537132,36801.760787471365,0.0,151438.6206606062,234846.6824207467,288741.1798099105,0.0,2.229521023323361e6,-754787.9074560888,-3470.6964152882533,-867.6741038220633,-2603.022311466214,-293344.0507051931,128211.00940862873,32052.752352157182,386899.2854501988
2024-09-01,189.72699004681695,0.007880776348816065,1.0968997871501367,0.0,17872.884628944306,625.5509620130509,0.0,0.0,1262.7854995513546,2234.0323520252136,916.661983215977,-3.2516593205788806e6,-1958.904829076797,-15749.810567717846,-957.0519065023326,-239.26297662558315,-717.7889298767489,457802.33337574545,-5054.893443700242,2228.376006638477,557.0940016596193,6008.38651880235,3.8566679044048483e6,134983.37665416978,37038.54442447914,0.0,151135.23160319007,234112.40658239514,289678.30736946524,0.0,2.245762105461109e6,-743903.9850285533,-2535.426577538964,-633.856644384741,-1901.5699331542432,-290217.72490615805,126783.14240877863,31695.785602194657,383403.5117795876
2024-10-01,188.6222094833181,0.007838936083170345,1.0898928949532938,0.0,80311.11318517895,2810.8889614812597,0.0,0.0,2631.3629502058166,2222.8382598278413,912.6992860689066,-3.2536182254079618e6,57037.573950652324,-15472.723264476583,-776.9734875337277,-194.24337188343193,-582.7301156502966,452747.4399320455,-5173.103167104506,2203.7710571988446,550.9427642997111,6243.201344353344,3.863493942519273e6,135222.28798817485,37276.85153453691,0.0,150836.7299345291,233384.66050344662,290625.4443380798,0.0,2.262170311296624e6,-732940.4750994596,-1594.687681978216,-398.671920494554,-1196.0157614836876,-287030.10104296054,125370.49295783916,31342.62323945979,379861.95499985607
