date,duration,pol_year,att_age,modal_cf_indicator,mort_rate_ann,mort_rate_mth,lapse_rate_ann,lapse_rate_mth,acq_exp_per_pol,acq_exp_perc_prem,maint_exp_per_pol,maint_exp_perc_prem,disc_rate_ann,disc_rate_mth,invt_ret_ann,invt_ret_mth,prem_tax_rate,tax_rate,premium_pp,sum_assured_pp,comm_pp,prem_tax_pp,death_ben_pp,surr_ben_pp,acq_exp_pp,maint_exp_pp,resv_pp,capreq_pp,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2024-01-01,25,3,37,1.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,2000.0,100000.0,400.0,70.0,200000.0,0.0,0.0,48.58333333333334,-12198.12348204777,1906.6684503731344,1.0,5.101431109599819e-5,0.0060290004851295135,0.0,2000.0,70.0,400.0,0.0,48.58333333333334,10.202862219199638,0.0,-12198.12348204777,1416.5608191377069,-52.16411231782399,2.488872991936205,0.6222182479840512,1.8666547439521537,1906.6684503731344,-21.792009676988982,9.280805093535504,2.320201273383876,30.619268241092765,16084.90322968433,562.9716130389512,400.0,0.0,770.3951369512912,1774.417617038217,1167.0120585345317,-11410.10680412134,8413.774222002114,-2793.5716007603255,111.01307233293095,27.753268083232737,83.25980424969771,-928.7807075219212,739.8035063834857,184.95087659587142,1566.893141559234
2024-02-01,26,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-10847.515718983774,1896.406621011556,0.9939199852037744,5.0704143329715265e-5,0.005992344072973475,0.0,0.0,0.0,0.0,0.0,4.555466598850633,10.140828665943053,0.0,-10781.562662910062,-65.23584935305917,-52.501975399148016,-1.9624213108825401,-0.49060532772063503,-1.471815983161905,1884.8764406961454,-16.332967824584557,9.174731384512315,2.2936828461280787,21.74220037980689,14175.525921160604,496.1434072406208,0.0,0.0,726.4559624961917,1775.6314111947618,1174.52064925788,-10002.774490971151,7051.347879547539,-2759.381412236244,109.23846079098881,27.309615197747203,81.9288455932411,-912.9645008827185,735.2826193255077,183.8206548313769,1546.355310970091
2024-03-01,27,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-10979.908636535652,1891.4739305177834,0.9878769369874713,5.0395861388040657e-5,0.005955910532345722,0.0,0.0,0.0,0.0,0.0,4.5277692945259105,10.079172277608132,0.0,-10846.798512263122,-65.43401489833923,-52.81937937651781,-1.9923060503126209,-0.4980765125781552,-1.4942295377344657,1868.5434728715609,-16.596166387424546,9.095229837744029,2.273807459436007,21.9233592279981,14266.731681762485,499.33560886168664,0.0,0.0,726.5452254243709,1776.9150484927138,1182.077550480026,-10081.858248503688,7161.9523134737165,-2724.633379928408,111.903725647771,27.97593141194275,83.92779423582775,-902.5055741461777,730.8387184530978,182.70967961327446,1534.5624072218295
2024-04-01,28,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-11113.717211974075,1886.1418691831764,0.9818706305937376,5.008945380513284e-5,0.005919698508184065,0.0,0.0,0.0,0.0,0.0,4.500240390221298,10.01789076102657,0.0,-10912.23252716146,-65.63368064240058,-53.137748754395176,-2.02219926324247,-0.5055498158106175,-1.5166494474318526,1851.9473064841363,-16.861623407812885,9.014447158662394,2.2536117896655985,22.105809329377827,14358.524262974284,502.5483492040996,0.0,0.0,726.6629381825325,1778.268601140026,1189.6830730321735,-10161.361301415453,7273.466545203354,-2689.34437375707,114.61602363832294,28.654005909580736,85.9620177287417,-891.7161557972555,726.4457269354374,181.61143173385935,1522.5124687275759
2024-05-01,29,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-11248.956582719447,1880.401781524831,0.9759008426317484,4.978490918486278e-5,0.005883706653665112,0.0,0.0,0.0,0.0,0.0,4.47287886206218,9.956981836972556,0.0,-10977.866207803861,-65.83484976610089,-53.45709083008977,-2.0521017630236145,-0.5130254407559036,-1.5390763222677109,1835.0856830763234,-17.129357054997172,8.932372354111092,2.233093088527773,22.28955999831278,14450.907440417475,505.7817604146113,0.0,0.0,726.8091143342282,1779.692144102408,1197.337529745424,-10241.286891820804,7385.897928601696,-2653.5099476795963,117.37566584874325,29.343916462185813,88.03174938655692,-880.5918609854186,722.105253457161,180.52631336429025,1510.202550464847
2024-06-01,30,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-11385.642048054367,1874.2448640337727,0.9699673510688984,4.9482216200390075e-5,0.005847933630154178,0.0,0.0,0.0,0.0,0.0,4.445683692399118,9.896443240078016,0.0,-11043.701057569962,-66.03752548690863,-53.77741291642456,-2.0820143619930604,-0.5205035904982651,-1.5615107714947953,1817.9563260213263,-17.399385625996047,8.848994342494079,2.2122485856235197,22.47462061137181,14543.885014005993,509.03597549020947,0.0,0.0,726.9837685607404,1781.185755107127,1205.0412354636433,-10321.638279384273,7499.253868029832,-2617.1256197500707,120.18296618001938,30.045741545004844,90.13722463501402,-869.1282584786256,717.8189280463849,179.45473201159623,1497.629679148429
2024-07-01,31,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-11523.789070854411,1867.6621628903856,0.9640699352225439,4.918136359374168e-5,0.005812378107155496,0.0,0.0,0.0,0.0,0.0,4.418653869769994,9.836272718748337,0.0,-11109.738583056871,-66.24171105891946,-54.098722341913806,-2.111937871512673,-0.5279844678781682,-1.5839534036345047,1800.5569403953302,-17.671727546578495,8.76430195315364,2.19107548828841,22.661000607809225,14637.460808102534,512.3111282835885,0.0,0.0,727.1869166620083,1782.7495146469175,1212.7945070564122,-10402.418741453608,7613.541818706204,-2580.1868718727796,123.03824136512421,30.759560341281052,92.27868102384264,-857.3208702371359,713.5884023004717,178.39710057511792,1484.790852986333
2024-08-01,32,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-11663.413279337388,1860.6445716464639,0.9582083757517946,4.8882340175393175e-5,0.005777038762262733,0.0,0.0,0.0,0.0,0.0,4.391788388862393,9.776468035078635,0.0,-11175.98029411579,-66.44740977291258,-54.421026450941156,-2.1418731019696082,-0.5354682754924021,-1.6064048264772062,1782.8852128487517,-17.946401372134687,8.678283925743703,2.1695709814359256,22.84870948996526,14731.63867167586,515.6073535086549,0.0,0.0,727.4185755575985,1784.3835059840014,1220.5976634320598,-10483.631573193547,7728.7692870704495,-2542.6891495539307,125.94181098626196,31.48545274656549,94.45635823969596,-845.1651709835975,709.4153496138684,177.3538374034671,1471.6830414336955
2024-09-01,33,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-11804.530468831332,1853.1828288735367,0.9523824546493564,4.8585134823852654e-5,0.005741914281109807,0.0,0.0,0.0,0.0,0.0,4.365086250476217,9.71702696477053,0.0,-11242.427703888703,-66.6546249563562,-54.74433260393808,-2.171820862828632,-0.542955215707158,-1.628865647121474,1764.938811476617,-18.22342578862549,8.590928909598896,2.147732227399724,23.037756823703187,14826.422478459113,518.9247867460688,0.0,0.0,727.6787632877188,1786.0878151542174,1228.4510255507814,-10565.280087720326,7844.943831149643,-2504.627861651599,128.89399749222554,32.223499373056384,96.67049811916864,-832.6565877694975,705.301465408039,176.32536635200975,1458.3031849446959
2024-10-01,34,3,37,0.0,0.000612,5.101431109599819e-5,0.07,0.006029308066126893,0.0,0.0,4.583333333333334,0.022000000000000002,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,100000.0,0.0,0.0,200000.0,0.0,0.0,4.583333333333334,-11947.156603561374,1845.2675157769158,0.9465919552334228,4.828973648524702e-5,0.0057070033573220005,0.0,0.0,0.0,0.0,0.0,4.338546461486522,9.657947297049404,0.0,-11309.08232884506,-66.86335997349306,-55.06864817756222,-2.2017819626050823,-0.5504454906512706,-1.6513364719538117,1746.7153856879916,-18.50281961348378,8.502225463098984,2.125556365774746,23.228152238854207,14921.81612710915,522.2635644488201,0.0,0.0,727.9674990142775,1787.8625309712593,1236.3549164378398,-10647.367616236954,7962.073060926902,-2465.998380123881,131.89512621591786,32.973781553979464,98.92134466193788,-819.7904995378736,701.2484673635049,175.31211684087623,1444.6481947224408
