date,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2024-01-01,100.0,0.004476015895183871,0.4265127861214182,0.0,83500.0,2922.4999999999986,0.0,0.0,2295.3333333333367,1518.0509673126653,842.35486238331,-2.342654473839171e6,65936.2487160116,-11021.946703924703,-1036.4345829654208,-259.1086457413552,-777.3259372240651,281202.3871094248,-3168.6714196313023,1368.7668383502937,342.1917095875734,3417.920611169952,2.686715455365779e6,94035.04093780232,0.0,0.0,89796.4725465822,132597.91948297096,188653.79956615524,-2.1816322228322676e6,1.696154896346127e6,-476992.67858976073,-7516.033879201226,-1879.0084698003066,-5637.0254094009115,-200992.32372026658,60681.490872894385,15170.372718223596,240866.4164655359
2024-02-01,99.56901119798358,0.004456716167521829,0.4246745638107494,0.0,18420.436911868615,644.7152919154008,0.0,0.0,861.6075800518669,1511.517275905125,838.7165511270775,-2.2767182251231624e6,4742.752664018855,-10999.710778467866,-1178.5832296176088,-294.6458074044022,-883.9374222132066,278033.7156897932,-2988.547421310162,1353.3431699902856,338.3357924975714,3119.617376589668,2.6199646219884297e6,91698.76176959515,0.0,0.0,88064.12417760659,131933.00752213562,189025.24893054727,-2.1192434795885473e6,1.6411317593044376e6,-469039.71714213345,-6527.957684522398,-1631.9894211305996,-4895.96826339178,-199116.84296333086,59703.150573940286,14925.787643485071,238998.2376303937
2024-03-01,99.1398799180052,0.00443749965697703,0.4228442640687625,0.0,18341.216001304387,641.9425600456537,0.0,0.0,857.897868319553,1505.0117055814032,835.0939545181143,-2.271975472459144e6,4701.347780593056,-10976.979248222835,-1177.0571159762294,-294.26427899405735,-882.7928369821713,275045.1682684831,-2994.437959990065,1338.7962643001295,334.69906607503236,3115.742321232996,2.6182825986958514e6,91639.8909543549,0.0,0.0,87763.58021501146,131270.35118913132,189402.7265225901,-2.118206049814761e6,1.6469480977942639e6,-461057.82202654565,-5391.375531203828,-1347.843882800957,-4043.5316484028685,-197409.41930505555,58733.939272404765,14683.484818101191,237416.34211095548
2024-04-01,98.71259815427923,0.004603857306526621,0.4210210615702278,0.0,82423.74978723182,2884.831242553117,0.0,0.0,2265.755236859548,1517.2412818490407,936.7350424672076,-2.267274124678551e6,65126.415878580476,-10659.940417621929,-967.1693126994655,-241.79232817486638,-725.3769845246,272050.7303084932,-3123.579008418538,1324.2206861150948,331.0551715287737,3391.367538480261,2.6166694838350457e6,91583.43193422661,0.0,0.0,87464.83612364094,130609.93687565153,189786.25541343534,-2.1172250234880974e6,1.652843263664496e6,-453047.3026876943,-4249.006687729701,-1062.2516719324253,-3186.7550157972687,-195685.11949287239,57773.03894186236,14443.25973546559,235828.14368347192
2024-05-01,98.28697323540263,0.004583994286630788,0.41920572033365544,0.0,18183.794832784024,636.4328191474403,0.0,0.0,850.5254469835104,1510.7097166573137,932.6855701908572,-2.202147708799972e6,4723.204562659299,-10637.792628668729,-1107.5559115231556,-276.8889778807889,-830.6669336423662,268927.1513000748,-2945.4936482900475,1309.0165073467745,327.2541268366936,3096.5890951577635,2.5505511474068235e6,89269.2901592389,0.0,0.0,85747.25433855156,129933.04386032585,190070.6108527628,-2.0555309481959501e6,1.598351291111449e6,-445302.28225682053,-3309.1756119966926,-827.2939029991732,-2481.881708997515,-193820.5844353507,56820.531727845606,14205.132931961401,233954.10152223698
2024-06-01,97.8631835207823,0.004564216964885081,0.4173982064627309,0.0,18105.591650576214,633.695707770168,0.0,0.0,846.8626074495952,1504.2062692858894,928.6536036407699,-2.197424504237308e6,4683.142084000905,-10615.151697488644,-1106.120319059735,-276.53007976493376,-829.5902392948032,265981.6576517846,-2951.0208596973002,1294.679168073825,323.66979201845623,3092.439996457867,2.548660680370091e6,89203.12381295326,0.0,0.0,85442.95700149723,129258.32726015036,190360.84531582517,-2.0543954269796638e6,1.6039119268821615e6,-437529.5779202455,-2222.9110360004174,-555.7277590001044,-1667.183277000303,-192122.1382632558,55877.10023250222,13969.275058125555,232362.78016063236
2024-07-01,97.44122109735471,0.004694004900943307,0.41559784862774024,0.0,81360.6575304487,2847.623013565704,0.0,0.0,2236.5400623660817,1602.3667692675028,924.6390671403055,-2.1927413621533127e6,64359.41868249873,-10301.999763295968,-911.9298276856684,-227.9824569214171,-683.9473707642508,263030.6367920871,-3041.385377594231,1280.3149248198679,320.07873120496697,3317.674200444876,2.546836756355361e6,89139.28647243769,0.0,0.0,85140.38821256776,128585.77296042495,190656.97912271234,-2.053314329587213e6,1.609548402429517e6,-429729.50470111234,-1131.0929934781655,-282.77324836954136,-848.319745108616,-190407.23702594265,54941.93600978405,13735.484002446012,230765.36928817225
2024-08-01,97.02092924382613,0.004673749251879843,0.41380525628962844,0.0,17950.13775506741,628.25482142736,0.0,0.0,839.5822896456862,1595.4651637336938,920.641885339962,-2.128381943470813e6,4736.916614030364,-10279.778300389464,-1050.501319499108,-262.625329874777,-787.8759896243293,259989.2514144935,-2865.2066000278573,1265.5108277057327,316.3777069264332,3026.463731182825,2.481339046280245e6,86846.8666198086,0.0,0.0,83437.25400543514,127810.73092610306,190959.03279992956,-1.9922851619289664e6,1.5555448666317556e6,-422192.39751022076,-226.4406521697514,-56.61016304243785,-169.83048912730487,-188590.93754453558,54015.119155552966,13503.779788888241,228932.44642207332
2024-09-01,96.60245023828453,0.004653581010754709,0.412020395953255,0.0,17872.884628944306,625.5509620130509,0.0,0.0,835.96469209558,1588.5932844129413,916.661983215977,-2.123645026856782e6,4698.128477824506,-10257.066382733175,-1049.081153350915,-262.27028833772874,-786.8108650131857,257124.04481446565,-2870.2661444339765,1251.5642896999425,312.8910724249856,3022.128496695748,2.479238426935275e6,86773.34494273474,0.0,0.0,83129.10762262496,127037.6038535291,191267.0270814014,-1.991031343434988e6,1.5608163725270974e6,-414629.01780762704,822.6037413551669,205.65093533879173,616.952806016384,-186939.1307151436,53097.143230889465,13274.285807722366,227378.94094432672
2024-10-01,96.18577626132037,0.004633499800380058,0.4102432342679532,0.0,80311.11318517895,2810.8889614812597,0.0,0.0,2207.695964604994,1581.7510032697837,912.6992860689066,-2.1189468983789613e6,63718.62416076766,-9947.590984642751,-868.1371756563472,-217.0342939140868,-651.102881742261,254253.7786700314,-2952.000049153498,1237.5931241059166,309.39828102647914,3229.092010490677,2.4772020423172563e6,86702.07148110413,0.0,0.0,82822.61948999112,126266.37433741252,191580.98290947854,-1.9898299940992706e6,1.5661605835862956e6,-407039.68700994836,1876.9775519465616,469.2443879866404,1407.7331639599306,-185271.63656646834,52187.20755949229,13046.801889873073,225819.77540004734
