date,duration,pol_year,att_age,modal_cf_indicator,mort_rate_ann,mort_rate_mth,lapse_rate_ann,lapse_rate_mth,acq_exp_per_pol,acq_exp_perc_prem,maint_exp_per_pol,maint_exp_perc_prem,disc_rate_ann,disc_rate_mth,invt_ret_ann,invt_ret_mth,prem_tax_rate,tax_rate,premium_pp,comm_pp,prem_tax_pp,death_ben_pp,surr_ben_pp,acq_exp_pp,maint_exp_pp,resv_pp,capreq_pp,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2037-11-01,191,16,50,0.0,0.00387,0.00032307345273330235,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6000.0,0.0,4.166666666666667,953.9661399035967,2358.8974077042744,0.4595737037391579,0.00014847606325244154,0.001959595050491114,0.0,0.0,0.0,0.0,0.0,1.9148904322464915,14.847606325244154,11.757570302946684,438.4177521572436,-26.720439837707374,2.1246997513633685,0.32507252863341574,0.08126813215835393,0.2438043964750618,1084.0872183993517,3.9605821790810296,5.276849352800937,1.3192123382002343,0.2408592319947349,6947.372362418405,243.1580326846443,0.0,0.0,305.88862478922033,3335.7083039494196,1631.2993193455031,0.0,2569.125529487774,2306.2482261640444,1127.5369346485033,281.88423366212584,845.6527009863769,-186.80306072532832,678.8243036303148,169.7060759075787,1541.5739894344415
2037-12-01,192,16,50,0.0,0.00387,0.00032307345273330235,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6000.0,0.0,4.166666666666667,899.9524400484212,2378.4252258122233,0.45746563262541434,0.00014779500143911704,0.0019506063601309714,0.0,0.0,0.0,0.0,0.0,1.9061068026058932,14.779500143911704,11.703638160785829,411.69731231953625,-26.657944255612847,1.9946794140865436,0.26337856239596324,0.06584464059899081,0.19753392179697243,1088.0478005784328,3.9937707525896258,5.296127686825811,1.3240319217064527,0.17585893432670474,6992.07196538361,244.7225187884265,0.0,0.0,305.9295105164768,3342.3227452899746,1630.0375779816534,0.0,2612.3758003385847,2318.9619969409623,1134.4664687075394,283.61661717688486,850.8498515306538,-191.96553942175692,677.9150302864734,169.47875757161836,1551.251663667266
2038-01-01,193,17,51,1.0,0.00422,0.000352348688118842,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,2000.0,0.0,70.0,100000.0,6500.0,0.0,44.166666666666664,845.557918156012,2398.155809982477,0.45536723126384426,0.00016044804654812486,0.001941602040129711,0.0,910.7344625276885,31.8757061884691,0.0,0.0,20.11205271415312,16.044804654812484,12.62041326084312,385.0393680639234,832.0804944465774,6.054191596415551,4.055182859248832,1.013795714812208,3.0413871444366243,1092.0415713310224,0.5336390759161986,5.315567567910429,1.3288918919776072,6.494423744453247,7037.059166940199,246.29707084290712,0.0,0.0,305.97949944751167,3349.047850326608,1628.8216506780386,0.0,2655.84184915222,2331.8875888391476,1141.502281563597,285.37557039089927,856.126711172697,-197.19442223506917,676.9806283165346,169.24515707913366,1561.0566046451675
2038-02-01,194,17,51,0.0,0.00422,0.000352348688118842,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6500.0,0.0,4.166666666666667,2685.2269114286296,2410.4547531522985,0.4532651811771664,0.00015970739195772383,0.0019326392855515632,0.0,0.0,0.0,0.0,0.0,1.8886049215715268,15.970739195772383,12.56215535608516,1217.1198625105008,-26.669773698409927,5.915199594899537,2.1634738198803944,0.5408684549700986,1.6226053649102958,1092.5752104069386,2.932187547873582,5.318165083096094,1.3295412707740235,2.6790416293587844,6165.741662024359,215.80095817085268,0.0,0.0,287.7067264931108,3354.550920380639,1626.6811249614834,0.0,1840.8491211304954,2340.8368322024667,1144.791558754566,286.1978896886415,858.5936690659238,-198.99681616117053,676.0207744951018,169.00519362377545,1564.6060660984208
2038-03-01,195,17,51,0.0,0.00422,0.000352348688118842,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6500.0,0.0,4.166666666666667,2638.5677456229814,2428.1324454512223,0.45117283449965717,0.00015897015635081362,0.0019237179045236941,0.0,0.0,0.0,0.0,0.0,1.8798868104152384,15.897015635081361,12.504166379404012,1190.4500888120908,-26.597901986566967,5.7854255587031576,2.1022587203695133,0.5255646800923783,1.576694040277135,1095.5073979548122,2.9628207815530914,5.332437654252438,1.3331094135631094,2.613201499413372,6205.412229528327,217.18942803349154,0.0,0.0,287.65708397171517,3360.1634628121355,1624.5850849427748,0.0,1879.3629735022323,2349.9826472685627,1149.9937082933902,287.49842707334756,862.495281220042,-203.2093552160199,675.052147430095,168.76303685752376,1571.9937470086331
2038-04-01,196,17,51,0.0,0.00422,0.000352348688118842,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6500.0,0.0,4.166666666666667,2591.578096412706,2445.9904708376903,0.4490901464387827,0.00015823632394480373,0.0019148377060589858,0.0,0.0,0.0,0.0,0.0,1.871208943494928,15.823632394480374,12.446445089383408,1163.8521868255239,-26.52648676873605,5.656001165807539,2.041201507184881,0.5103003767962202,1.5309011303886606,1098.4702187363653,2.9934487691848517,5.346859334222697,1.3367148335556742,2.547596861870832,6245.338038658096,218.58683135303343,0.0,0.0,287.6158962525881,3365.8858400713207,1622.533547916155,0.0,1918.0527534479381,2359.3170808203713,1155.290543718495,288.82263592962374,866.4679077888704,-207.47963110766725,674.0630156182303,168.51575390455758,1579.4948006102104
2038-05-01,197,17,51,0.0,0.00422,0.000352348688118842,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6500.0,0.0,4.166666666666667,2544.255623008398,2464.030426333038,0.4470170724087789,0.00015750587902995866,0.0019059985000519485,0.0,0.0,0.0,0.0,0.0,1.862571135036579,15.750587902995866,12.388990250337665,1137.3257000567878,-26.455526241238886,5.526924195109257,1.9803011479780297,0.4950752869945074,1.4852258609835223,1101.4636675055501,3.0240718995823954,5.361430097471468,1.340357524367867,2.482226534504728,6285.520731645972,219.9932256076091,0.0,0.0,287.58317723101334,3371.7184185186934,1620.5265325285548,0.0,1956.9200493849332,2368.8409967916073,1160.682516355397,290.17062908884924,870.5118872665471,-211.80801007061123,673.0530980225351,168.26327450563377,1587.1097208540593
2038-06-01,198,17,51,0.0,0.00422,0.000352348688118842,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6500.0,0.0,4.166666666666667,2496.597968041033,2482.253922124785,0.444953568029697,0.00015677880596906167,0.0018972000972746512,0.0,0.0,0.0,0.0,0.0,1.8539732001237377,15.677880596906167,12.331800632285233,1110.870173815549,-26.385018609483723,5.398192434280212,1.9195566144487977,0.4798891536121994,1.4396674608365982,1104.4877394051325,3.054690560691597,5.376149920355918,1.3440374800889796,2.4170893404119402,6325.961961290433,221.40866864516525,0.0,0.0,287.5589410786467,3377.6615684429,1618.5640587825653,0.0,1995.9664581467841,2378.5552668956657,1166.170081465804,291.542520366451,874.6275610993524,-216.19486108452784,672.0221118233717,168.00552795584292,1594.839006051409
2038-07-01,199,17,51,0.0,0.00422,0.000352348688118842,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6500.0,0.0,4.166666666666667,2448.60275744449,2500.6625816706437,0.4428995891264533,0.00015605508919707995,0.0018884423093726694,0.0,0.0,0.0,0.0,0.0,1.8454149546935554,15.605508919707995,12.27487501092235,1084.4851552060652,-26.314962087881895,5.269803679723415,1.8589668822814094,0.46474172057035235,1.394225161711057,1107.542429965824,3.0853051395897637,5.391018781121561,1.3477546952803903,2.352184107962464,6366.663391024112,222.833218685844,0.0,0.0,287.5432022444309,3383.7156640787566,1616.6461480394564,0.0,2035.193585046541,2388.4607706668994,1171.7536982688914,292.93842456722285,878.8152737016679,-220.6405558910653,670.9697724050754,167.74244310126886,1602.6831588965397
2038-08-01,200,17,51,0.0,0.00422,0.000352348688118842,0.05,0.004265318777560645,0.0,0.0,4.166666666666667,0.02,0.08,0.00643403011000343,0.06,0.004867550565343048,0.035,0.25,0.0,0.0,0.0,100000.0,6500.0,0.0,4.166666666666667,2400.2676003373363,2519.2580418033267,0.4408550917278835,0.00015533471322083152,0.0018797249488610543,0.0,0.0,0.0,0.0,0.0,1.836896215532848,15.533471322083152,12.218212167596853,1058.1701931181833,-26.245354899847598,5.141755736529183,1.7985309311639268,0.4496327327909817,1.3488981983729451,1110.6277351054139,3.1159160224833613,5.406036659898027,1.3515091649745068,2.2875096708131037,6407.6266949822175,224.2669343243777,0.0,0.0,287.5359754555209,3389.8810836254215,1614.772823022241,0.0,2074.603043940298,2398.558395502209,1177.4338299627798,294.35845749069495,883.0753724720844,-225.14546901074607,669.8957933425103,167.47394833562757,1610.6426864897128
