date,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2022-01-01,5.0,0.00023089233815809518,0.06725662910784622,0.0,6000.0,210.0,6000.0,1200.0,140.83333333333334,46.178467631619036,0.0,-54028.246281275424,-2086.1246625301255,-270.5339803993352,218.57888116583825,54.644720291459564,163.9341608743787,13064.396016108807,-379.1942847475482,63.5916082140759,15.897902053518974,590.8221517824838,88840.92501854496,3109.432375649072,21465.259091941713,1616.940790017097,3337.536251382965,7688.800270110276,3305.405620312774,0.0,23772.748767296525,-23450.824378684778,674.1188046796931,168.52970116992327,505.5891035097706,-6784.803380304265,4901.677776691573,1225.4194441728932,10966.650816332716
2022-02-01,4.9325124785539955,0.00022777580117488112,0.06634883246888257,0.0,0.0,0.0,0.0,0.0,20.552135327308317,45.55516023497623,0.0,-56114.37094380555,-425.7920921151508,-273.23957656932174,86.44521998354455,21.611304995886137,64.83391498765842,12685.20173136126,-212.41777178468988,61.74586085897811,15.436465214744528,323.5610824165819,83373.92602445482,2918.0874108559174,15564.763034598267,419.6233996141556,3217.2706008770992,7692.091774926349,3326.6726995996405,0.0,26011.82801119298,-23331.173708442308,459.8772242008836,114.9693060502209,344.90791815066353,-6449.262724796048,4869.623710882264,1217.405927720566,10446.388426108411
2022-03-01,4.865935870283939,0.000224701330565628,0.06545328881981952,0.0,0.0,0.0,0.0,0.0,20.274732792849743,44.9402661131256,0.0,-56540.163035920705,-427.4834882788855,-275.31079083715196,86.95769853575817,21.739424633939542,65.21827390181863,12472.783959576569,-217.30589864470085,60.71190661383864,15.17797665345966,328.0581025068984,83910.35637488536,2936.862473120986,15664.90718861794,422.3232692021351,3217.2862484103425,7696.0277647801595,3348.076611914991,0.0,26604.98098794838,-23208.047606014825,376.3908681247524,94.0977170311881,282.2931510935652,-6278.339703570019,4839.209155603489,1209.8022889008723,10190.0397213662
2022-04-01,4.800257880133554,0.00022166835852704958,0.06456983277584966,0.0,0.0,0.0,0.0,0.0,20.001074500556474,44.33367170540991,0.0,-56967.64652419959,-429.198819695338,-277.3902562866233,87.47381720274828,21.86845430068707,65.60536290206122,12255.47806093187,-222.25951110361916,59.65415916403825,14.913539791009562,332.60549337870907,84450.2381343425,2955.758334701986,15765.69567313992,425.04050983233674,3217.5811839710036,7700.60397303305,3369.6182376466504,0.0,27203.641724979796,-23082.058092269166,291.85487976763915,72.96371994190979,218.8911598257303,-6101.428831618918,4809.632866405408,1202.408216601352,9927.544641248704
2022-05-01,4.735466378999177,0.00021867632491995228,0.06369830118444811,0.0,0.0,0.0,0.0,0.0,19.73110991249657,43.735264983990454,0.0,-57396.84534389493,-430.9380572979808,-279.4780891777927,87.99359322370105,21.998398305925264,65.99519491777578,12033.218549828249,-227.27946428257337,58.57229975511296,14.64307493877824,337.20388401668384,84993.59350929581,2974.7757728253523,15867.132633806052,427.77523327056923,3218.153436173928,7705.816219155347,3391.2984628468857,0.0,27807.8695946354,-22953.17849274905,206.25886564906727,51.56471641226682,154.69414923680142,-5918.426097331977,4780.924029921884,1195.231007480471,9658.813269010192
2022-06-01,4.671549401489808,0.00022663055304006027,0.05403677941011922,0.0,3737.323655249684,130.80632793373894,1868.661827624842,186.86618276248421,94.21126227786787,45.32611060801206,0.0,-57827.78340119291,1067.5758889051667,-274.38871894351735,69.48733619405526,17.371834048513815,52.11550214554144,11805.939085545677,-189.12755245796757,57.46600547025345,14.366501367563362,284.3425587061991,85540.444849092,2993.9155697182196,15969.22224293138,430.5275520017458,3219.001071813105,7711.660407747557,3413.118179268851,0.0,28417.724322200316,-22821.38184511389,119.59234817740753,29.898087044351882,89.69426113305656,-5729.225964763467,4753.112339328927,1188.2780848322318,9383.75448039322
2022-07-01,4.617285991526649,0.00022398926675255818,0.05338422117902675,0.0,0.0,0.0,0.0,0.0,19.238691631361043,44.79785335051164,0.0,-56760.207512287736,-383.8216626582089,-276.3768254697516,43.408292206584576,10.852073051646144,32.55621915493843,11616.811533087708,-158.32732994829416,56.54541754536472,14.13635438634118,233.29261226225617,82329.44493869577,2881.5305728543503,14191.283845586542,245.22909382559163,3144.894801257219,7715.951352401113,3435.078284403267,0.0,27532.98892724196,-22693.82658411372,50.874472752451766,12.718618188112941,38.15585456433985,-5576.960424669802,4726.228001766145,1181.5570004415363,9159.78728055875
2022-08-01,4.56367778108087,0.00022137996246444615,0.05273979637855644,0.0,0.0,0.0,0.0,0.0,19.01532408783696,44.27599249288922,0.0,-57144.02917494595,-385.1549447354546,-278.2440095680018,43.61961858672666,10.904904646681665,32.714713940044994,11458.484203139415,-161.57439482550558,55.77475126096565,13.943687815241413,236.12017221127482,82859.1550663712,2900.0704273229912,14282.590993148651,246.80690519911434,3145.766675148707,7720.798162379271,3457.179681515336,0.0,28093.958669676435,-22563.46252219735,7.793508435387082,1.9483771088467705,5.845131326541264,-5454.515426016131,4700.091277490885,1175.0228193727212,8985.429015460835
2022-09-01,4.510716604739849,0.00021880224071636563,0.05210340114837252,0.0,0.0,0.0,0.0,0.0,18.794652519749373,43.76044814327312,0.0,-57529.184119681406,-386.5055107717426,-280.11769660697746,43.8327135017426,10.95817837543565,32.87453512630695,11296.90980831391,-164.8595496090893,54.9882797240878,13.74706993102195,238.97529452846211,83392.27336495767,2918.7295677735174,14374.485613647437,248.3948682585222,3146.8689634000893,7726.1980177363885,3479.4232796818983,0.0,28659.87099040178,-22430.392509883106,-35.775966483403806,-8.943991620850952,-26.831974862551874,-5328.035547677091,4674.5570550290595,1168.6392637572649,8807.121364086335
2022-10-01,4.45839440135076,0.0002162557071578601,0.05147493297805531,0.0,0.0,0.0,0.0,0.0,18.5766433389615,43.25114143157201,0.0,-57915.68963045315,-387.87333740883605,-281.9979705537315,44.047582084571054,11.011895521142764,33.03568656342829,11132.05025870482,-168.18324650701493,54.18581753018587,13.546454382546468,241.85829621808261,83928.82176272945,2937.5087616955298,14466.971486901453,249.99304832006789,3148.200435182872,7732.148160275081,3501.8099938288187,0.0,29230.77497407458,-22294.59263406391,-79.83886363071503,-19.959715907678756,-59.8791477230352,-5197.456739208924,4649.645016147958,1162.4112540369895,8624.811353596859
