date,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2024-01-01,100.0,0.003377457402553574,0.9740362535623929,0.0,100000.0,3500.0,20000.0,0.0,2416.666666666667,675.4914805107148,0.0,-1.4390160173405185e6,66831.97358169928,-5560.904710992646,1014.9635601306866,253.74089003267164,761.2226700980159,258504.37806169395,-4114.426740868248,1053.1788348383757,263.2947087095939,5665.533537095039,1.5529197084951901e6,54352.18979733162,78300.66423257624,4542.365508208827,69259.25021701543,123365.0634293585,0.0,-1.2231001753106983e6,816391.9110867209,-443180.20526235196,-44042.2476431297,-11010.561910782424,-33031.68573234726,-141299.86816999523,84452.31747387932,21113.07936846983,171607.4205430574
2024-02-01,99.02258628903499,0.003350814240557971,0.9631448671339107,0.0,0.0,0.0,0.0,0.0,412.59410953764666,670.162848111594,0.0,-1.3721840437588193e6,-7492.6436314254715,-5592.128607695232,817.7580660810005,204.43951652025012,613.3185495607493,254389.9513208263,-3921.1936155863214,1036.4161509973228,259.1040377493307,5311.824278395065,1.4611347277632458e6,51139.71547171366,58630.30466432947,4568.0487031949715,67220.52123581225,123387.095953204,0.0,-1.1561890417349923e6,754175.9360634079,-440125.1058647326,-45306.2324746228,-11326.5581186557,-33979.674355967094,-137984.37142698147,83876.64432034164,20969.16108008541,166912.18031127058
2024-03-01,98.05609060766075,0.0033244153358133457,0.9523866273963191,0.0,0.0,0.0,0.0,0.0,408.5670441985856,664.8830671626683,0.0,-1.379676687390244e6,-7517.486099071448,-5622.63815855375,821.3978291564473,205.34945728911183,616.0483718673352,250468.75770523952,-3988.707656546808,1020.4407228277731,255.11018070694328,5370.086570534974,1.4693961959446073e6,51428.86685806122,58961.80893100946,4593.877114699582,67185.66885927762,123414.5816845414,0.0,-1.1638113924970182e6,765932.8000850194,-437021.50859424437,-46380.15856607088,-11595.03964151772,-34785.118924553164,-134843.3615086327,83314.4789109392,20828.6197277348,162544.10176728416
2024-04-01,97.10037956492836,0.0032982580952463413,0.9417598234269089,0.0,0.0,0.0,0.0,0.0,404.5849148538681,659.6516190492697,0.0,-1.3871941734893133e6,-7542.553765814773,-5653.249103775349,825.0681281362897,206.26703203407243,618.8010961022163,246480.05004869314,-4056.9770722895328,1004.1902340982173,251.04755852455432,5428.920843965422,1.4777043756681767e6,51719.653148386235,59295.187571009934,4619.851563797967,67154.66925729117,123447.50260514919,0.0,-1.1714675115225425e6,777780.9815927526,-433869.85358270654,-47463.7965548508,-11865.9491387127,-35597.84741613807,-131617.07782258233,82765.1103647498,20691.27759118745,158093.06318000672
2024-05-01,96.15532148340624,0.003272339956472183,0.9312627668455516,0.0,0.0,0.0,0.0,0.0,400.64717284752675,654.4679912944373,0.0,-1.3947367272551288e6,-7567.8465905240955,-5683.962358613736,828.7690677683931,207.19226694209829,621.5768008262954,242423.0729764036,-4126.010152772346,987.6616073182857,246.91540182957144,5488.333159087355,1.4860595310478117e6,52012.08358667329,59630.45118230984,4645.972876207911,67127.49902393104,123485.84111354144,0.0,-1.1791576832651463e6,789721.2221080512,-430669.7677102989,-48557.23188934643,-12139.307972336608,-36417.92391700983,-128304.28284376735,82228.88609765847,20557.221524414617,153558.0235000011
2024-06-01,95.2207863766042,0.0032933895621677697,0.7008187279060516,0.0,46722.41882315938,1635.2846588105765,23361.20941157969,4672.241882315938,1331.2016530323717,658.6779124335552,0.0,-1.4023045738456536e6,8799.785193321713,-5649.107081557579,614.9110301079419,153.72775752698547,461.1832725809564,238297.06282363145,-3619.6244226025556,970.8517312233025,242.71293280582563,4808.946493600984,1.4944619276906946e6,52306.16746917431,59967.61042281114,4672.241882315938,67104.13517269335,123529.58002118905,0.0,-1.18688219272251e6,801754.2673038953,-427420.8748322795,-49660.550605827186,-12415.137651456796,-37245.41295437035,-124903.72376001999,81706.15856738076,20426.53964184519,148937.9297311854
2024-07-01,94.51667425913608,0.00327117087523036,0.6954635860353642,0.0,0.0,0.0,0.0,0.0,393.81947607973325,654.2341750460729,0.0,-1.3935047886523306e6,-6777.938440040634,-5678.9154713703,50.96931754453138,12.742329386132845,38.22698815839862,234677.43840102825,-2930.2981354045414,956.1049332753004,239.0262333188251,3685.603823519415,1.4559252385337614e6,50957.38334868159,36813.37892465867,0.0,66144.82324833714,123569.3563138404,0.0,-1.1784402966982448e6,797487.7173028804,-424188.4675186358,-50556.24960907893,-12639.062402269732,-37917.18720680926,-121990.32315098507,81197.2853357438,20299.32133393595,144971.09994598367
2024-08-01,93.81793950222547,0.0032491065027353393,0.6901505871901843,0.0,0.0,0.0,0.0,0.0,390.90808125927225,649.8213005470672,0.0,-1.400282727092373e6,-6797.233671298454,-5706.517770190083,49.98651930202591,12.496629825506478,37.48988947651948,231747.1402656242,-2970.1714841933835,944.1665359486703,236.0416339871676,3715.7862756314107,1.464157251505627e6,51245.5038026969,37021.52712130033,0.0,66122.76950695357,123613.80124482083,0.0,-1.1861536498298545e6,808774.7672412214,-420907.97531427565,-50893.07131215519,-12723.267828038797,-38169.80348411646,-119749.77603853273,80700.28165881937,20175.070414704842,142105.18379853098
2024-09-01,93.12453980853242,0.0032271953380613567,0.6848793911968816,0.0,0.0,0.0,0.0,0.0,388.0189158688852,645.4390676122723,0.0,-1.4070799607636686e6,-6816.666090057697,-5734.198770735914,49.009335840630186,12.252333960157546,36.757001880472686,228776.96878143045,-3010.3773600281556,932.0656896634035,233.01642241585088,3746.1836291561763,1.472435809475663e6,51535.25333164809,37230.85221810796,0.0,66103.51892678005,123662.9103484018,0.0,-1.1939032746507225e6,820144.9310321667,-417581.33243123104,-51230.814655867696,-12807.703663966924,-38423.11099190083,-117456.6871981704,80212.40624817432,20053.10156204358,139192.88089240048
2024-10-01,92.43643322199773,0.0032054362827902867,0.6796496606853406,0.0,0.0,0.0,0.0,0.0,385.1518050916572,641.0872565580576,0.0,-1.4138966268537263e6,-6836.2358216904795,-5761.9590312143955,48.03772882637034,12.009432206592585,36.02829661977767,225766.59142140267,-3050.918406153937,919.8010396631586,229.95025991578964,3776.79748252108,1.4807611756160571e6,51826.64114656213,37441.36086944612,0.0,66087.06500217906,123716.67935492929,0.0,-1.201689429242943e6,831598.8158010241,-414208.1992251278,-51569.49046608788,-12892.37261652197,-38677.11784956591,-115110.42702428374,79733.87316531171,19933.46829132793,136233.7140487014
2024-11-01,91.75357812502942,0.0031838282466443643,0.6744610610654844,0.0,0.0,0.0,0.0,0.0,382.3065755209557,636.7656493288731,0.0,-1.4207328626754163e6,-6855.942995435635,-5789.79911034871,47.07166023709668,11.76791505927417,35.30374517782249,222715.67301524823,-3091.797284495351,907.3712204226741,226.84280510566853,3807.6294449901766,1.4891336145870162e6,52119.676510545556,37653.05976730427,0.0,66073.40136653431,123775.10419029101,0.0,-1.209512372752343e6,843137.0322312497,-410788.23357298726,-51909.10959156391,-12977.277397890977,-38931.83219367292,-112710.35970813122,79264.89903682617,19816.224759206543,133227.20179207818
2024-12-01,91.07593323571734,0.0031623701474238993,0.6693132605039819,0.0,44320.11517006864,1551.2040309523998,22160.05758503432,0.0,1265.8853585501938,632.4740294847804,0.0,-1.4275888056708535e6,12843.374334238251,-5737.367859681997,129.75197212666103,32.43799303166526,97.31397909499577,219623.87573075294,-3174.858516264544,894.7748555716927,223.69371389292317,3943.2536370382995,1.497553392545167e6,52414.36873908071,37865.95564150924,0.0,66062.52179161944,123838.18097539496,0.0,-1.2173723653975578e6,854760.1945884239,-407321.09085869667,-52249.682904362526,-13062.420726090631,-39187.26217827185,-110255.84318409272,78805.70307967559,19701.425769918897,130172.85831557745
2025-01-01,90.4034576050658,0.0032898559404305446,0.5822341748453463,0.0,92943.08400000003,3253.007939999998,0.0,0.0,2235.5427533544403,657.9711880861092,0.0,-1.4147454313366143e6,81379.46225040457,-5407.54741548388,9.552452671026046,2.3881131677565115,7.1643395032695345,216449.01721448853,-2714.750022824819,881.8400889808621,220.46002224521553,3383.294429063738,1.4614500696071924e6,51150.75243625155,15794.701487526067,0.0,65163.00603607672,123905.90602565702,0.0,-1.2054357036216795e6,846749.7586657547,-403886.77566608554,-52674.86218007623,-13168.715545019057,-39506.14663505724,-107704.38723500188,78356.50712667302,19589.126781668256,126965.62094494948
2025-02-01,89.81793357428026,0.003272225951483122,0.5780143593822561,0.0,0.0,0.0,0.0,0.0,374.24138989283364,654.4451902966233,0.0,-1.3333659690862126e6,-6283.604421165546,-5433.8227127088485,-178.90487173276932,-44.72621793319233,-134.17865379957726,213734.2671916641,-2506.288113068922,870.7798613462102,217.69496533655254,3025.1943552790012,1.3762447230674934e6,48168.56530736222,15884.007026087169,0.0,63283.26430898342,123948.51684459804,0.0,-1.1249603695804607e6,770157.942657598,-400762.86280026834,-52982.24596177495,-13245.561490443737,-39736.684471331275,-105598.6134764651,77917.70612103574,19479.426530258934,124300.2085959109
2025-03-01,89.23664698894648,0.0032547020684608042,0.5738277043968116,0.0,0.0,0.0,0.0,0.0,371.8193624539433,650.9404136921602,0.0,-1.3396495735073772e6,-6301.456354315178,-5459.413027288575,-180.71644911949835,-45.17911227987459,-135.53733683962406,211227.97907859494,-2539.755129698769,860.5689333360814,215.14223333402035,3049.644492861208,1.3840262108203676e6,48440.91737871283,15973.817511147261,0.0,63264.71968085469,123994.89458909427,0.0,-1.1323518616605555e6,780796.132057814,-397595.01157970517,-53102.910411661294,-13275.727602915324,-39827.182808746,-103689.3952767006,77487.48429835089,19371.87107458772,121977.82569171798
2025-04-01,88.65956458248107,0.0032372835706698153,0.5696739358536783,0.0,0.0,0.0,0.0,0.0,369.4148524270048,647.4567141339626,0.0,-1.3459510298616919e6,-6319.421906322259,-5485.076144221826,-182.5258044605307,-45.63145111513268,-136.8943533453981,208688.22394889643,-2573.5012567707827,850.2216565575332,212.5554141393833,3074.273145843538,1.391851696236323e6,48714.80936827131,16064.135797747165,0.0,63248.50592063665,124045.03933670477,0.0,-1.1397792058129634e6,791512.323260709,-394383.658553195,-53222.445538503685,-13305.611384625921,-39916.834153877724,-101735.91506302837,77065.0408669421,19266.260216735525,119617.86155935735
2025-05-01,88.08665336305681,0.0032199697428275456,0.565552782046886,0.0,0.0,0.0,0.0,0.0,367.0277223460705,643.9939485655092,0.0,-1.352270451768014e6,-6337.501225493361,-5510.812525845842,-184.332971264059,-46.08324281601475,-138.24972844804432,206114.7226921256,-2607.5287125981504,839.7368938800723,209.93422347001808,3099.0816545601606,1.3997214280845486e6,48990.2499829592,16154.964757070662,0.0,63234.618590937236,124098.95130956666,0.0,-1.1472426434440177e6,802307.0709186693,-391128.48495285044,-53340.84717899107,-13335.211794747767,-40005.635384243404,-99737.64346114472,76650.55615573245,19162.639038933114,117219.92519370053
2025-06-01,87.51788061126713,0.0032476128737749126,0.4474368829763603,0.0,42041.329583615116,1471.4465354265267,8408.26591672302,0.0,1205.484427552581,649.5225747549836,0.0,-1.3586079529935068e6,25412.259891106136,-5409.017857445872,-514.6676193940733,-128.66690484851833,-386.000714545555,203507.19397952707,-1976.173760000097,829.1134991355309,207.27837478388273,2212.0081698061877,1.4076356565408062e6,49267.24797892822,16246.30727653555,0.0,63223.05336751808,124156.63087412996,0.0,-1.1547424170436934e6,813180.932968481,-387829.1697460826,-53458.11111276446,-13364.527778191115,-40093.58333457337,-97694.04588527292,76244.21265038241,19061.053162595603,114783.6220384865
